circ,region,dist,capitaldist,candidato,partido,pacto,diputado,senador
I,"Arica y Parinacota",1,Arica,"Pablo Arancibia",UDI,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Nino Baltolu",UDI,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Andrés Peralta​",UDI,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Solón Chávez",RN,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Laura Ferret",RN,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Patricio López",RN,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Víctor Mardones",RN,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Marcelo Zara​",RN,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Juan Ignacio Palma​",Evópoli,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Alejandro Salas​",PRI,"Chile Vamos",1,0
I,"Arica y Parinacota",1,Arica,"Luis Rocafull",PS,"Nueva Mayoría",1,0
I,"Arica y Parinacota",1,Arica,"Vlado Mirosevic",PL,"Frente Amplio",1,0
II,Tarapacá,2,Iquique,"Renzo Trisotti",UDI,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Pamela Boyardi",RN,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Ramón Galleguillos​",RN,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Natán Olivos",Evópoli,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Felipe Rojas​",Evópoli,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Mirna Chávez",PRI,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"José Lagos​",PRI,"Chile Vamos",1,0
II,Tarapacá,2,Iquique,"Hugo Gutiérrez",PCCh,"Nueva Mayoría",1,0
II,Tarapacá,2,Iquique,"Miguel Rocha",Poder,"Frente Amplio",1,0
II,Tarapacá,2,Iquique,"Sebastián Vergara (IL)",Otros,"Frente Amplio",1,0
II,Tarapacá,2,Iquique,"Rodrigo Oliva (IA)",Otros,"Frente Amplio",1,0
II,Tarapacá,2,Iquique,"Cristian Jamett",PRO,"Fuera de Pacto",1,0
II,Tarapacá,2,Iquique,"Aníbal Alvarado",IND,"Fuera de Pacto",1,0
III,Antofagasta,3,Antofagasta,"Lorena Muñoz",UDI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Manuel Rojas",UDI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Pablo Toloza​",UDI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Paulina Núñez",RN,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"José Miguel Castro",RN,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Mario Arce​",RN,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Andrea Tessa​",Evópoli,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Jaime Madera",PRI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Mirta Moreno",PRI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Eslayne Portilla​",PRI,"Chile Vamos",1,0
III,Antofagasta,3,Antofagasta,"Marcela Hernando",PRSD,"Nueva Mayoría",1,0
III,Antofagasta,3,Antofagasta,"Marcos Espinosa",PRSD,"Nueva Mayoría",1,0
III,Antofagasta,3,Antofagasta,"Alejandra Pozo​",IC,"Nueva Mayoría",1,0
III,Antofagasta,3,Antofagasta,"Osvaldo Chávez",RD,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Catalina Pérez",RD,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Fredy Antilef",Poder,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Esteban Valenzuela",Poder,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Pablo Herrera (MA)",Otros,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Carolina Reyes (ND)",Otros,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Fernando San Román (IL)",Otros,"Frente Amplio",1,0
III,Antofagasta,3,Antofagasta,"Juan Carlos Liendo",Amplitud,"Sentido Futuro",1,0
III,Antofagasta,3,Antofagasta,"Irina Salgado",Amplitud,"Sentido Futuro",1,0
III,Antofagasta,3,Antofagasta,"Constantino Zafirópulos",Amplitud,"Sentido Futuro",1,0
III,Antofagasta,3,Antofagasta,"Felipe Contreras",Ciudadanos,"Sentido Futuro",1,0
III,Antofagasta,3,Antofagasta,"Felipe Vergara",Ciudadanos,"Sentido Futuro",1,0
III,Antofagasta,3,Antofagasta,"Marisela Santibáñez",PRO,"Fuera de Pacto",1,0
III,Antofagasta,3,Antofagasta,"Janett Guerra",PRO,"Fuera de Pacto",1,0
III,Antofagasta,3,Antofagasta,"Daniel Adaro",IND,"Fuera de Pacto",1,0
IV,Atacama,4,Copiapó,"Giovanni Calderón",UDI,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Nicolás Noman",UDI,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Juan Antonio Pérez",UDI,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Carlos Vilches​",UDI,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Teresa Cañas",RN,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Sofía Cid",RN,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Javier Coopman",RN,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Patricio Urquieta",RN,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Cristián Viñales​",RN,"Chile Vamos",1,0
IV,Atacama,4,Copiapó,"Daniella Cicardini",PS,"Nueva Mayoría",1,0
IV,Atacama,4,Copiapó,"Alberto Robles",PRSD,"Nueva Mayoría",1,0
IV,Atacama,4,Copiapó,"Juan Carlos Meléndez​",PRSD,"Nueva Mayoría",1,0
