circ,region,distrito,magsen,magdip,comuna
"I ","Arica y Parinacota",1,2,3,Arica
"I ","Arica y Parinacota",1,2,3,Camarones
"I ","Arica y Parinacota",1,2,3,"General Lagos"
"I ","Arica y Parinacota",1,2,3,Putre
"II ",Tarapacá,2,3,3,"Alto Hospicio"
"II ",Tarapacá,2,3,3,Camiña
"II ",Tarapacá,2,3,3,Colchane
"II ",Tarapacá,2,3,3,Huara
"II ",Tarapacá,2,3,3,Iquique
"II ",Tarapacá,2,3,3,Pica
"II ",Tarapacá,2,3,3,"Pozo Almonte"
"III ",Antofagasta,3,3,5,Calama
"III ",Antofagasta,3,3,5,"María Elena"
"III ",Antofagasta,3,3,5,Ollagüe
"III ",Antofagasta,3,3,5,"San Pedro de Atacama"
"III ",Antofagasta,3,3,5,Tocopilla
"III ",Antofagasta,3,3,5,Antofagasta
"III ",Antofagasta,3,3,5,Mejillones
"III ",Antofagasta,3,3,5,"Sierra Gorda"
"III ",Antofagasta,3,3,5,Taltal
"IV ",Atacama,4,2,5,Chañaral
"IV ",Atacama,4,2,5,Copiapó
"IV ",Atacama,4,2,5,"Diego de Almagro"
"IV ",Atacama,4,2,5,"Alto del Carmen"
"IV ",Atacama,4,2,5,Caldera
"IV ",Atacama,4,2,5,Huasco
"IV ",Atacama,4,2,5,Freirina
"IV ",Atacama,4,2,5,"Tierra Amarilla"
"IV ",Atacama,4,2,5,Vallenar
"V ",Coquimbo,5,3,7,Andacollo
"V ",Coquimbo,5,3,7,"La Higuera"
"V ",Coquimbo,5,3,7,"La Serena"
"V ",Coquimbo,5,3,7,Paihuano
"V ",Coquimbo,5,3,7,Vicuña
"V ",Coquimbo,5,3,7,Coquimbo
"V ",Coquimbo,5,3,7,Ovalle
"V ",Coquimbo,5,3,7,"Río Hurtado"
"V ",Coquimbo,5,3,7,Canela
"V ",Coquimbo,5,3,7,Combarbalá
"V ",Coquimbo,5,3,7,Illapel
"V ",Coquimbo,5,3,7,"Los Vilos"
"V ",Coquimbo,5,3,7,"Monte Patria"
"V ",Coquimbo,5,3,7,Punitaqui
"V ",Coquimbo,5,3,7,Salamanca
"VI ",Valparaíso,6,5,8,Cabildo
"VI ",Valparaíso,6,5,8,"La Calera"
"VI ",Valparaíso,6,5,8,Hijuelas
"VI ",Valparaíso,6,5,8,"La Cruz"
"VI ",Valparaíso,6,5,8,"La Ligua"
"VI ",Valparaíso,6,5,8,Nogales
"VI ",Valparaíso,6,5,8,Papudo
"VI ",Valparaíso,6,5,8,Petorca
"VI ",Valparaíso,6,5,8,Puchuncaví
"VI ",Valparaíso,6,5,8,Quillota
"VI ",Valparaíso,6,5,8,Quintero
"VI ",Valparaíso,6,5,8,Zapallar
"VI ",Valparaíso,6,5,8,"Calle Larga"
"VI ",Valparaíso,6,5,8,Catemu
"VI ",Valparaíso,6,5,8,Llaillay
"VI ",Valparaíso,6,5,8,"Los Andes"
"VI ",Valparaíso,6,5,8,Panquehue
"VI ",Valparaíso,6,5,8,Putaendo
"VI ",Valparaíso,6,5,8,Rinconada
"VI ",Valparaíso,6,5,8,"San Esteban"
"VI ",Valparaíso,6,5,8,"San Felipe"
"VI ",Valparaíso,6,5,8,"Santa María"
"VI ",Valparaíso,6,5,8,Limache
"VI ",Valparaíso,6,5,8,Olmué
"VI ",Valparaíso,6,5,8,Quilpué
"VI ",Valparaíso,6,5,8,"Villa Alemana"
"VI ",Valparaíso,7,5,8,"Isla de Pascua"
"VI ",Valparaíso,7,5,8,"Juan Fernández"
"VI ",Valparaíso,7,5,8,Valparaíso
"VI ",Valparaíso,7,5,8,Concón
