"","dip89","dip93","dip97","dip01","dip05","dip09","comunas","rowmeans","scaledmeans"
"Algarrobo",4.07,3.51,4.07,4.01,3.65,5.8,"Algarrobo",4.18,0.48
"Alhué",4.58,4.5,3.73,4.37,4.44,8,"Alhué",4.94,2.19
"Alto Biobío",0,0,0,0,3.4,6.79,"Alto Biobío",1.7,-5.09
"Alto del Carmen",3.79,4.6,3.24,3.45,4.72,8.86,"Alto del Carmen",4.78,1.83
"Alto Hospicio",0,0,0,0,3.19,8.18,"Alto Hospicio",1.9,-4.64
"Ancud",3.43,4.19,3.58,3.12,3.96,5.18,"Ancud",3.91,-0.13
"Andacollo",3.59,4.02,4.94,3.72,4.06,5.74,"Andacollo",4.34,0.84
"Angol",3.43,3.96,4.1,3.48,3.67,5.75,"Angol",4.06,0.21
"Antártica",1.61,3.09,3.24,1.41,4.73,5.8,"Antártica",3.31,-1.47
"Antofagasta",3.58,3.7,4.28,3.23,3.71,7.71,"Antofagasta",4.37,0.91
"Antuco",3.67,3.45,3.9,2.96,3.09,5.72,"Antuco",3.8,-0.37
"Arauco",4.3,3.05,4.42,3.34,4.82,5.72,"Arauco",4.28,0.71
"Arica",4.99,3.21,4.41,4.18,4.6,6.72,"Arica",4.68,1.61
"Buin",2.75,3.02,2.99,3.13,3.27,6.37,"Buin",3.59,-0.84
"Bulnes",2.24,2.55,3.87,2.75,3.35,6.18,"Bulnes",3.49,-1.07
"Cabildo",2.83,4.28,3.56,4.42,3.55,7.21,"Cabildo",4.31,0.77
"Cabrero",2.49,1.47,1.92,2.47,2.62,6.43,"Cabrero",2.9,-2.4
"Calama",3.41,3.71,3.44,3.96,4.72,7.55,"Calama",4.46,1.11
"Calbuco",3.09,3.99,4.11,4.21,4.42,5.99,"Calbuco",4.3,0.75
"Caldera",3.47,3.87,3.48,3.79,3.85,8.03,"Caldera",4.42,1.02
"Calera",2.97,3.83,3.52,4.26,3.83,7.93,"Calera",4.39,0.95
"Calera de Tango",2.71,3.29,3.22,3.64,3.55,6.25,"Calera de Tango",3.78,-0.42
"Calle Larga",3.81,3.84,2.54,4.45,3.92,5.25,"Calle Larga",3.97,0.01
"Camarones",3.73,3.03,3.6,4.1,4.44,6.4,"Camarones",4.22,0.57
"Camiña",3.22,2.9,3.31,4.37,3.76,6.7,"Camiña",4.04,0.17
"Canela",3.54,4.31,4.64,3.26,3.27,6.72,"Canela",4.29,0.73
"Cañete",4.42,3.6,4.07,3.28,4.19,5.53,"Cañete",4.18,0.48
"Carahue",3.53,4.02,4.14,3.04,3.08,7.78,"Carahue",4.26,0.66
"Cartagena",4.12,3.89,4.97,4.33,4.65,7.09,"Cartagena",4.84,1.97
"Casablanca",4.44,3.84,4.48,4.4,3.94,6.48,"Casablanca",4.6,1.43
"Castro",3.51,4.19,3.97,3.44,4.15,5.51,"Castro",4.13,0.37
"Catemu",3.88,3.95,2.36,2.89,3.91,6,"Catemu",3.83,-0.3
"Cauquenes",2.71,4.36,3.86,3.89,3.57,5.22,"Cauquenes",3.94,-0.06
"Cerrillos",3.36,3.63,4.21,4.46,3.7,7.74,"Cerrillos",4.52,1.25
"Cerro Navia",4.23,3.34,1.86,2.27,3.29,6.84,"Cerro Navia",3.64,-0.73
"Chaitén",3.78,4.12,3.58,2.92,3.56,5.63,"Chaitén",3.93,-0.08
"Chañaral",4.06,4.54,4.68,2.81,2.52,7.55,"Chañaral",4.36,0.89
"Chanco",2.18,4.06,3.24,4.12,3.63,5.2,"Chanco",3.74,-0.51
"Chépica",4.2,2.77,4.75,3.21,2.76,4.77,"Chépica",3.74,-0.51
"Chiguayante",0,0,4.13,3.43,3.66,5.97,"Chiguayante",2.87,-2.46
"Chile Chico",3.71,3.51,4.03,3.91,4.02,5.61,"Chile Chico",4.13,0.37
"Chillán",3.81,3.02,3.12,3.47,4.19,5.96,"Chillán",3.93,-0.08
"Chillán Viejo",0,0,3.33,3.55,4.31,6.06,"Chillán Viejo",2.88,-2.44
"Chimbarongo",3.3,4.03,4.88,3.44,2.49,5.76,"Chimbarongo",3.98,0.03
"CholChol",0,0,0,0,3.15,9.55,"CholChol",2.12,-4.15
"Chonchi",3.31,4.17,4.13,3.32,4.12,5.53,"Chonchi",4.1,0.3
"Cisnes",3.41,3.12,3.97,3.02,3.2,5.44,"Cisnes",3.69,-0.62
"Cobquecura",2.64,2.64,3.42,2.7,3.54,6.22,"Cobquecura",3.53,-0.98
"Cochamó",2.55,3.22,3.2,3.78,4.25,5.69,"Cochamó",3.78,-0.42
"Cochrane",3.12,2.91,3.49,3.35,3.42,4.44,"Cochrane",3.46,-1.14
"Codegua",4.07,3.29,3.17,2.62,4.27,6.85,"Codegua",4.04,0.17
"Coelemu",2.87,2.76,3.4,2.9,3.27,6.51,"Coelemu",3.62,-0.78
