"","sen89","sen93","sen97","sen01","sen05","sen09","comunas","rowmeans","scaledmeans"
"Algarrobo",3.59,3.22,0,2.59,0,3.27,"Algarrobo",2.11,0.37
"Alhué",4.05,0,4.56,0,3.88,0,"Alhué",2.08,0.29
"Alto Biobío",0,0,0,0,4.2,0,"Alto Biobío",0.7,-3.37
"Alto del Carmen",4.16,4.61,0,2.45,0,3.45,"Alto del Carmen",2.45,1.27
"Alto Hospicio",0,0,0,0,0,3.54,"Alto Hospicio",0.59,-3.66
"Ancud",2.94,0,4.14,0,4.37,0,"Ancud",1.91,-0.16
"Andacollo",4.15,0,3.85,0,3.33,0,"Andacollo",1.89,-0.22
"Angol",3.51,3.37,0,2.42,0,3.66,"Angol",2.16,0.5
"Antártica",1.72,0,2.02,0,3.68,0,"Antártica",1.24,-1.94
"Antofagasta",4.93,0,3.84,0,3.73,0,"Antofagasta",2.08,0.29
"Antuco",3.08,0,2.66,0,2.27,0,"Antuco",1.34,-1.67
"Arauco",3.51,0,2.85,0,3.8,0,"Arauco",1.69,-0.75
"Arica",3.52,3.71,0,3.23,0,3.44,"Arica",2.32,0.92
"Buin",4.25,0,4.38,0,4,0,"Buin",2.1,0.34
"Bulnes",3.8,0,2.73,0,3.13,0,"Bulnes",1.61,-0.96
"Cabildo",3.76,4.19,0,3.28,0,4.35,"Cabildo",2.6,1.67
"Cabrero",2.92,0,1.46,0,1.94,0,"Cabrero",1.05,-2.44
"Calama",3.76,0,3.59,0,4.22,0,"Calama",1.93,-0.11
"Calbuco",2.53,0,4.2,0,4.79,0,"Calbuco",1.92,-0.14
"Caldera",4.05,4.11,0,2.38,0,3.85,"Caldera",2.4,1.14
"Calera",4.22,3.78,0,3.19,0,4.91,"Calera",2.68,1.88
"Calera de Tango",4.15,0,4.41,0,4.26,0,"Calera de Tango",2.14,0.45
"Calle Larga",3.97,4.12,0,3.11,0,4.62,"Calle Larga",2.64,1.77
"Camarones",3.38,4.05,0,4.22,0,3.77,"Camarones",2.57,1.59
"Camiña",3.09,3.71,0,2.76,0,3.82,"Camiña",2.23,0.69
"Canela",3.68,0,4.32,0,3.76,0,"Canela",1.96,-0.03
"Cañete",3.74,0,3.05,0,4.28,0,"Cañete",1.84,-0.35
"Carahue",2.99,3.99,0,3.22,0,3.02,"Carahue",2.2,0.61
"Cartagena",3.92,3.48,0,2.71,0,3.26,"Cartagena",2.23,0.69
"Casablanca",4.11,3.64,0,3.3,0,3.33,"Casablanca",2.4,1.14
